82,128,82,18,122,109,79,82,58,119,88,122,109,85,58,58
109,122,119,128,58,119,18,54,55,122,125,58,115,79,58,58
119,88,79,125,82,82,119,85,58,45,82,112,119,85,122,115
82,109,85,82,128,88,115,125,122,112,122,128,88,112,58,125
106,79,119,122,71,5,75,69,5,72,75,5,67,112,109,128
119,103,115,82,78,-1,-1,-1,-1,-1,-1,-1,89,82,77,18
58,116,125,58,94,31,92,101,44,-1,-1,-1,86,115,90,112
119,119,79,45,112,88,82,82,97,95,108,-1,126,67,115,109
45,79,112,82,79,88,85,18,18,115,87,-1,-1,117,45,122
128,128,88,128,112,45,115,106,125,128,94,95,95,98,109,128
106,122,112,125,109,58,88,52,53,128,109,128,82,125,45,115
106,45,45,128,85,45,128,122,79,125,58,79,112,122,58,128
